window,label,mode,status,coin,side,ts_open,ts_close,notional,potential_pp,cash_bybit_after_open,cash_okx_after_open,cash_bybit_after_close,cash_okx_after_close,cash_bybit,cash_okx,equity_bybit,equity_okx,pnl_bybit,pnl_okx,fee_bybit,fee_okx
all,frozen,fixed100,closed,MOVE,long,1787446997,1787455107,100.0,0.20315794348716737,164.4700176261296,58.32118226609327,178.7484167489366,44.34933835718326,178.7484167489366,44.34933835718326,178.7484167489366,44.34933835718326,14.364035087719294,-13.928808313066547,0.1856359649122807,0.09303559584346671
all,frozen,fixed100,closed,ONT,long,1787663309,1787667209,100.0,0.4532636895775795,178.6484167489366,44.29933835718326,182.586306178074,40.946106107319444,182.586306178074,40.946106107319444,182.586306178074,40.946106107319444,4.03385557356385,-3.3048846922099187,0.19596614442643612,0.09834755765389505
all,frozen,fixed100,closed,EDEN,long,1787729195,1787732459,100.0,0.2257328748703003,182.48630617807402,40.89610610731945,185.2368359793985,38.513939440652784,185.2368359793985,38.513939440652784,185.2368359793985,38.513939440652784,2.847682119205297,-2.333333333333331,0.1971523178807947,0.09883333333333333
all,frozen,fixed100,closed,BICO,long,1787750977,1787754806,100.0,0.20775188207626344,185.1368359793985,38.46393944065279,184.42594548601704,39.537944630964205,184.42594548601704,39.537944630964205,184.42594548601704,39.537944630964205,-0.6102802131682988,1.1245674740484422,0.20061028021316832,0.10056228373702422
all,frozen,fixed100,closed,ONT,long,1787754806,1787756689,100.0,0.411020827293396,184.32594548601705,39.48794463096421,189.12333840966696,35.228626642899414,189.12333840966696,35.228626642899414,189.12333840966696,35.228626642899414,4.892500423226675,-4.211423699914748,0.19510749957677334,0.09789428815004264
all,frozen,fixed100,closed,BICO,long,1787757213,1787758630,100.0,0.2325303375720978,189.02333840966696,35.17862664289942,187.43902620245802,37.154903446018324,187.43902620245802,37.154903446018324,187.43902620245802,37.154903446018324,-1.482829377831112,2.0272904483430785,0.20148282937783113,0.10101364522417154
all,frozen,fixed100,closed,EDEN,long,1787763764,1787777336,100.0,0.20008450448513032,187.33902620245803,37.10490344601833,186.3341321874954,38.46662660986013,186.3341321874954,38.46662660986013,186.3341321874954,38.46662660986013,-0.9039900249376731,1.4124293785310704,0.20090399002493767,0.10070621468926555
all,frozen,fixed100,closed,ONT,short,1787778899,1787780733,100.0,0.27344677299261094,186.23413218749542,38.41662660986013,190.2415744185711,34.85109954433307,190.2415744185711,34.85109954433307,190.2415744185711,34.85109954433307,4.111553784860556,-3.5137701804368464,0.20411155378486057,0.10175688509021842
all,frozen,fixed100,closed,ONT,short,1787785705,1787789172,100.0,0.2351804792881012,190.1415744185711,34.80109954433307,193.26271854932892,32.07896585686073,193.26271854932892,32.07896585686073,193.26271854932892,32.07896585686073,3.2243684992570656,-2.670798288328178,0.20322436849925707,0.10133539914416409
all,frozen,fixed100,closed,ONT,long,1787789578,1787797669,100.0,0.38572995625436307,193.16271854932893,32.02896585686073,202.55920484588552,23.121562119601403,202.55920484588552,23.121562119601403,202.55920484588552,23.121562119601403,9.486999297259318,-8.86183465458662,0.19051300070274066,0.0955690826727067
all,frozen,fixed100,closed,BICO,long,1787802088,1787803113,100.0,0.4941717952489853,202.45920484588552,23.071562119601403,203.7168177022741,22.455932958482894,203.7168177022741,22.455932958482894,203.7168177022741,22.455932958482894,1.356256599788812,-0.5659121171770972,0.19864374340021118,0.09971704394141145
all,frozen,fixed100,closed,BICO,long,1787803348,1787809070,100.0,0.21010045409202577,203.61681770227412,22.405932958482893,209.24773373280848,17.119225325882635,209.24773373280848,17.119225325882635,209.24773373280848,17.119225325882635,5.725190839694663,-5.239327296248383,0.19427480916030535,0.09738033635187582
all,frozen,fixed100,closed,BICO,long,1787816365,1787817846,100.0,0.3444871425628662,209.1477337328085,17.069225325882634,212.26438518433304,14.438443326620373,212.26438518433304,14.438443326620373,212.26438518433304,14.438443326620373,3.213438013511042,-2.582073035780152,0.19678656198648897,0.09870896348210992
all,frozen,fixed100,closed,HOME,long,1787968180,1787976646,100.0,0.2151418149471283,212.16438518433304,14.388443326620372,214.9715280414759,11.938759232480422,214.9715280414759,11.938759232480422,214.9715280414759,11.938759232480422,2.9042386185243236,-2.400884536408154,0.1970957613814757,0.09879955773179593
all,frozen,fixed100,closed,ICX,short,1788109977,1788125336,100.0,0.8902687549591064,214.8715280414759,11.888759232480421,204.9199387994221,22.775398908593786,204.9199387994221,22.775398908593786,204.9199387994221,22.775398908593786,-9.861450692746532,10.931174089068831,0.1901385493072535,0.09453441295546558
all,frozen,fixed100,closed,ICX,short,1788140030,1788141140,100.0,0.25016350746154786,204.81993879942212,22.725398908593785,204.5342510670801,23.41309476112835,204.5342510670801,23.41309476112835,204.5342510670801,23.41309476112835,-0.18587360594796393,0.7373271889400941,0.19981412639405202,0.09963133640552997
all,frozen,fixed100,closed,ICX,short,1788173397,1788175807,100.0,0.25839841812849046,204.4342510670801,23.363094761128348,204.70875903334067,23.49940761029035,204.70875903334067,23.49940761029035,204.70875903334067,23.49940761029035,0.37488284910965414,0.1862197392923574,0.20037488284910965,0.09990689013035382
all,frozen,fixed100,closed,ICX,short,1788179771,1788189486,100.0,0.26127220392227174,204.60875903334068,23.44940761029035,205.16661416033972,23.305815468101393,205.16661416033972,23.305815468101393,205.16661416033972,23.305815468101393,0.6585136406396884,-0.09354536950420572,0.20065851364063972,0.1000467726847521
all,frozen,fixed100,closed,ICX,short,1788192130,1788192607,100.0,0.25248286575078965,205.06661416033973,23.255815468101392,205.0592857744399,23.66687537593549,205.0592857744399,23.66687537593549,205.0592857744399,23.66687537593549,0.09276437847866043,0.46082949308755483,0.20009276437847867,0.09976958525345624
