window,label,theta_open,p50_open,min_profit_pp,min_theta_close,mode,status,n_policy_closed,n_applied,n_skipped_nonpositive,n_price_mismatch,n_not_applied,n_negative_rounds,n_open_end,final_bybit,final_okx,min_bybit,min_okx,policy_sum_potential_pp,complete
oos,frozen,0.5,0.6,0.2,0.05,fixed100,ok,71,71,0,0,0,0,1,97.99576115306631,123.23323311897418,89.18984123392683,92.01543205871259,21.20584860146043,True
oos,frozen,0.5,0.6,0.2,0.05,fixed100_equalize,ok,71,71,0,0,0,0,1,110.58949713602031,110.63949713602031,90.05214013944767,87.03841037902595,21.20584860146043,True
oos,frozen,0.5,0.6,0.2,0.05,balance_equalize,ok,71,71,0,0,0,0,1,111.1602776886203,111.21591346323922,90.04171368809583,86.49532229031112,21.20584860146043,True
oos,theta_open=0.40,0.4,0.6,0.2,0.05,fixed100,ok,79,79,0,0,0,0,1,99.92632801176045,123.51991872635718,87.94343615873888,88.66111181676166,23.513513895869224,True
oos,theta_open=0.40,0.4,0.6,0.2,0.05,fixed100_equalize,ok,79,79,0,0,0,0,1,111.69812336905888,111.74812336905887,90.05112112668243,87.1514597513289,23.513513895869224,True
oos,theta_open=0.40,0.4,0.6,0.2,0.05,balance_equalize,ok,79,79,0,0,0,0,1,112.39856612732105,112.45482166592332,90.04079710230808,86.46230321460824,23.513513895869224,True
oos,theta_open=0.60,0.6,0.6,0.2,0.05,fixed100,ok,58,58,0,0,0,0,0,115.61168437930776,102.8095427544345,90.1324959766553,81.6205555032448,18.183240672945956,True
oos,theta_open=0.60,0.6,0.6,0.2,0.05,fixed100_equalize,ok,58,58,0,0,0,0,0,109.21061356687119,109.21061356687119,90.05004192195625,83.65947984274479,18.183240672945956,True
oos,theta_open=0.60,0.6,0.6,0.2,0.05,balance_equalize,ok,58,58,0,0,0,0,0,109.63806499549034,109.63806499549034,90.03982637480804,83.10212688476442,18.183240672945956,True
oos,p50_open=0.50,0.5,0.5,0.2,0.05,fixed100,ok,75,75,0,0,0,0,1,110.48644390566396,111.11240936848841,87.22040991023326,93.98894295148632,21.564123522490235,True
oos,p50_open=0.50,0.5,0.5,0.2,0.05,fixed100_equalize,ok,75,75,0,0,0,0,1,110.77442663707626,110.82442663707626,88.98717225044318,85.77880511636056,21.564123522490235,True
oos,p50_open=0.50,0.5,0.5,0.2,0.05,balance_equalize,ok,75,75,0,0,0,0,1,111.36585314460504,111.42159180984258,88.94883688789955,85.22409113894449,21.564123522490235,True
oos,p50_open=0.70,0.5,0.7,0.2,0.05,fixed100,ok,63,63,0,0,0,0,0,102.86555640822814,115.95452200222817,92.82539109861185,83.39468596202279,18.50470363199709,True
oos,p50_open=0.70,0.5,0.7,0.2,0.05,fixed100_equalize,ok,63,63,0,0,0,0,0,109.41003920522824,109.41003920522824,94.24192990474214,86.22462147424378,18.50470363199709,True
oos,p50_open=0.70,0.5,0.7,0.2,0.05,balance_equalize,ok,63,63,0,0,0,0,0,109.85793033381411,109.85793033381411,94.23599498806988,85.79464733140381,18.50470363199709,True
oos,min_profit_pp=0.15,0.5,0.6,0.15,0.05,fixed100,ok,76,76,0,0,0,0,1,91.51632075330406,126.21702021559271,85.39487693606787,93.81008005851949,17.656057664006923,True
oos,min_profit_pp=0.15,0.5,0.6,0.15,0.05,fixed100_equalize,ok,76,76,0,0,0,0,1,108.84167048444834,108.89167048444834,90.02166199336378,86.42009283930915,17.656057664006923,True
oos,min_profit_pp=0.15,0.5,0.6,0.15,0.05,balance_equalize,ok,76,76,0,0,0,0,1,109.23721591451351,109.291889195752,90.01429908006487,85.96271902841168,17.656057664006923,True
oos,min_profit_pp=0.25,0.5,0.6,0.25,0.05,fixed100,ok,58,58,0,0,0,0,1,93.42919736903401,126.56197704586856,87.11852471018561,94.91990524144559,19.980845472216583,True
oos,min_profit_pp=0.25,0.5,0.6,0.25,0.05,fixed100_equalize,ok,58,58,0,0,0,0,1,109.97058720745133,110.02058720745133,90.07593089694481,86.33250264079737,19.980845472216583,True
oos,min_profit_pp=0.25,0.5,0.6,0.25,0.05,balance_equalize,ok,58,58,0,0,0,0,1,110.47306715746976,110.5283589828739,90.06311309637178,85.88630980731844,19.980845472216583,True
oos,min_theta_close=0,0.5,0.6,0.2,0.0,fixed100,ok,71,71,0,0,0,0,1,99.5683691485941,121.5113854260536,89.18984123392683,91.23094233290786,21.041929722577308,True
oos,min_theta_close=0,0.5,0.6,0.2,0.0,fixed100_equalize,ok,71,71,0,0,0,0,1,110.51487728732393,110.56487728732392,90.05214013944767,86.95544913016005,21.041929722577308,True
oos,min_theta_close=0,0.5,0.6,0.2,0.0,balance_equalize,ok,71,71,0,0,0,0,1,111.07753484085906,111.13312920264127,90.04171368809583,86.4237361457161,21.041929722577308,True
oos,min_theta_close=0.10,0.5,0.6,0.2,0.1,fixed100,ok,70,70,0,0,0,0,1,103.83029810609573,117.21723401627078,89.18984123392683,91.40361646472705,20.990100633352966,True
oos,min_theta_close=0.10,0.5,0.6,0.2,0.1,fixed100_equalize,ok,70,70,0,0,0,0,1,110.4987660611833,110.5487660611833,90.05214013944767,87.10692667206763,20.990100633352966,True
oos,min_theta_close=0.10,0.5,0.6,0.2,0.1,balance_equalize,ok,70,70,0,0,0,0,1,111.05950512634305,111.11509046424412,90.04171368809583,86.55452269412768,20.990100633352966,True
