base_coin,okx_symbol,bybit_symbol,status,in_plot_set,gecko_id,gecko_name,map_method,map_note,n_candidates,candidate_ids,market_cap_usd,median_rel_vol,mean_rel_vol,volume_cv,median_volume_usd,mean_volume_usd,n_hist_days,n_days_both,n_days_volume,n_days_mcap,hist_start,hist_end,ticker_volume_usd,ticker_mcap_usd,window_start,window_end,okx_tick_size,okx_lot_size,okx_min_size,bybit_tick_size,bybit_qty_step,bybit_min_order_qty,bybit_min_notional_value,paprika_id,paprika_name
BAND,BAND-USDT-SWAP,BANDUSDT,ok,True,band-protocol,Band,markets_max_mcap,,1,band-protocol,33332136.431378286,0.012517102816636705,0.026169162212889185,2.8313627445749474,402064.9965,820782.7029390001,30,30,30,30,2026-08-05,2026-09-03,1927739.0,33332477.0,2026-08-05,2026-09-03,0.0001,1.0,1.0,0.0001,0.1,0.1,5,band-protocol,Band
BARD,BARD-USDT-SWAP,BARDUSDT,ok,True,lombard-protocol,Lombard,markets_max_mcap,,1,lombard-protocol,42823666.3189357,0.03779864044686851,0.046124952331127136,0.5540330640555382,1453248.431045,1851338.7141812334,30,30,30,30,2026-08-05,2026-09-03,3301402.0,42798000.0,2026-08-05,2026-09-03,0.0001,1.0,1.0,0.0001,0.1,0.1,5,lombard-protocol,Lombard
BASED,BASED-USDT-SWAP,BASEDUSDT,ok,True,based-one,Based,markets_max_mcap,,9,"based-one,based,based-2,basedchad,based-coin,based-meme,basedmilio,devbased,make-america-based-again",16453097.974759338,0.4351760401843859,0.5982976029708933,1.170108208171272,7862875.51353,10868650.446648,30,30,30,30,2026-08-05,2026-09-03,8246428.0,16462440.0,2026-08-05,2026-09-03,1e-05,1.0,1.0,1e-05,1.0,1.0,5,based-one,Based
BAT,BAT-USDT-SWAP,BATUSDT,ok,True,basic-attention-token,Basic Attention,markets_max_mcap,,3,"basic-attention-token,batic,bitbat-token",107834968.92402641,0.010475431399632577,0.01144477356383489,0.5331789358244963,984171.7635325,1120274.7559537666,30,30,30,30,2026-08-05,2026-09-03,16616431.0,108040547.0,2026-08-05,2026-09-03,1e-05,1.0,1.0,1e-05,0.1,0.1,5,basic-attention-token,Basic Attention
BCH,BCH-USDT-SWAP,BCHUSDT,ok,True,bitcoin-cash,Bitcoin Cash,markets_max_mcap,,2,"bitcoin-cash,binance-peg-bitcoin-cash",5203431961.690883,0.005697800090553913,0.010584067152962487,1.3075825700806225,26674866.752499998,49941862.073099986,30,30,30,30,2026-08-05,2026-09-03,163557132.0,5187622291.0,2026-08-05,2026-09-03,0.1,0.1,0.1,0.1,0.01,0.01,5,bitcoin-cash,Bitcoin Cash
BEAT,BEAT-USDT-SWAP,BEATUSDT,ok,True,audiera,Audiera,markets_max_mcap,,2,"audiera,beat-matchmaker",40666680.28119891,0.9097708840248743,1.2482951715918367,0.922648745674784,168920179.43809998,186939799.6272073,30,30,30,30,2026-08-05,2026-09-03,5453334.0,40772069.0,2026-08-05,2026-09-03,0.0001,0.1,0.1,0.0001,1.0,1.0,5,audiera,Audiera
BERA,BERA-USDT-SWAP,BERAUSDT,ok,True,berachain-bera,Berachain,markets_max_mcap,,1,berachain-bera,59340330.6249276,0.07253104456760967,0.08809797510504153,0.9552022575207294,3493972.07777,4583936.024997999,30,30,30,30,2026-08-05,2026-09-03,9999609.0,59360826.0,2026-08-05,2026-09-03,0.0001,1.0,1.0,0.0001,1.0,1.0,5,berachain-bera,Berachain
BICO,BICO-USDT-SWAP,BICOUSDT,ok,True,biconomy,Biconomy,markets_max_mcap,,1,biconomy,22211496.0,1.9561392294363242,4.888432963197425,1.4888632284181451,43448778.670067996,108579409.20832776,30,30,30,30,2026-08-05,2026-09-03,14299203.0,22211496.0,2026-08-05,2026-09-03,1e-05,1.0,1.0,1e-05,0.1,0.1,5,biconomy,Biconomy
BIGTIME,BIGTIME-USDT-SWAP,BIGTIMEUSDT,ok,True,big-time,Big Time,markets_max_mcap,,1,big-time,19130394.546458334,0.04322975328057094,0.06912319757507905,0.7480669131874416,1007020.3497899999,1212191.4816016,30,30,30,30,2026-08-05,2026-09-03,11233261.0,19100708.0,2026-08-05,2026-09-03,1e-06,1.0,1.0,1e-06,1.0,1.0,5,big-time,Big Time
BIO,BIO-USDT-SWAP,BIOUSDT,ok,True,bio-protocol,Bio Protocol,markets_max_mcap,,2,"bio-protocol,bio-unit-000",60045081.60897742,0.06008752126505418,0.10397122007916319,0.8858753065500329,3745818.09148,5868358.214883001,30,30,30,30,2026-08-05,2026-09-03,19721475.0,60374507.0,2026-08-05,2026-09-03,1e-05,1.0,1.0,1e-05,1.0,1.0,5,bio-protocol,Bio Protocol
BLEND,BLEND-USDT-SWAP,BLENDUSDT,ok,True,fluent-network,Fluent,markets_max_mcap,,1,fluent-network,12594867.0,0.06931880045894886,0.08057440594045177,0.7103138297343932,873061.07238,1014823.9264240001,30,30,30,30,2026-08-05,2026-09-03,6355888.0,12594867.0,2026-08-05,2026-09-03,1e-05,1.0,1.0,1e-05,1.0,1.0,5,fluent-network,Fluent
BLUR,BLUR-USDT-SWAP,BLURUSDT,ok,True,blur,Blur,markets_max_mcap,,1,blur,48277839.0,0.024375694751540142,0.03017326627359467,0.6402994368416052,1176805.8667279999,1456700.0912607335,30,30,30,30,2026-08-05,2026-09-03,10223170.0,48277839.0,2026-08-05,2026-09-03,1e-05,1.0,1.0,1e-06,1.0,1.0,5,blur,Blur
BNB,BNB-USDT-SWAP,BNBUSDT,ok,True,binancecoin,BNB,markets_max_mcap,,2,"binancecoin,anubis-bridged-bnb-anubis",96059566341.0,0.0006566378538300547,0.000817993625599601,0.6076242153150916,63076347.482,78576112.94479999,30,30,30,30,2026-08-05,2026-09-03,1124424433.0,96059566341.0,2026-08-05,2026-09-03,0.1,1.0,1.0,0.1,0.01,0.01,5,binancecoin,BNB
BOME,BOME-USDT-SWAP,BOMEUSDT,ok,True,book-of-meme,BOOK OF MEME,markets_max_mcap,,1,book-of-meme,63855300.0,0.1756214816981519,0.5258327139231044,1.956563706628549,11214362.400279999,33577205.69737401,30,30,30,30,2026-08-05,2026-09-03,47687638.0,63855300.0,2026-08-05,2026-09-03,1e-07,1.0,1.0,1e-07,100.0,100.0,5,book-of-meme,BOOK OF MEME
BOT,BOT-USDT-SWAP,BOTUSDT,unmatched_coingecko,False,,,unmatched,"4 coins/list hits, none in top markets; not guessing",4,"bot,hyperbot,robostrategy-backpack-securities,wasabot",,,,0.9644165663823099,610732.0798,910560.0324333333,30,0,30,0,2026-08-05,2026-09-03,,,2026-08-05,2026-09-03,0.01,0.1,0.1,0.01,0.01,0.01,5,,
BRETT,BRETT-USDT-SWAP,BRETTUSDT,ok,True,based-brett,Brett,markets_max_mcap,,5,"based-brett,brett,bretter-brett,brett-eth,brett-memecoin",51233667.0,0.014716284587242213,0.021867417552283868,0.7638719918396034,753969.22402,1120347.9890236668,30,30,30,30,2026-08-05,2026-09-03,3212441.0,51233667.0,2026-08-05,2026-09-03,1e-06,1.0,1.0,1e-06,10.0,10.0,5,based-brett,Brett
BREV,BREV-USDT-SWAP,BREVUSDT,ok,True,brevis,Brevis,markets_max_mcap,,1,brevis,19277843.0,0.018477831584425706,0.024767414211641834,0.7525060737550436,356212.736265,477462.322688,30,30,30,30,2026-08-05,2026-09-03,2966556.0,19277843.0,2026-08-05,2026-09-03,1e-05,1.0,1.0,1e-05,1.0,1.0,5,brevis,Brevis
BSB,BSB-USDT-SWAP,BSBUSDT,ok,True,block-street,Block Street,markets_max_mcap,,2,"block-street,based-street-bets",25569799.0,0.2688498897191175,0.3677472931373323,0.9104597547512846,6874437.64129,9403224.368315665,30,30,30,30,2026-08-05,2026-09-03,10927562.0,25569799.0,2026-08-05,2026-09-03,0.0001,1.0,1.0,0.0001,1.0,1.0,5,block-street,Block Street
BSP,BSP-USDT-SWAP,BSPUSDT,missing_market_cap,False,bespincoin,Bespincoin,unique_symbol_not_in_top_markets,in coins/list but not in cached /markets pages,1,bespincoin,,,,2.1651641527437198,929358.6629,2957139.8312233333,30,0,30,0,2026-08-05,2026-09-03,,,2026-08-05,2026-09-03,0.01,0.1,0.1,0.01,0.01,0.01,5,bespincoin,Bespincoin
BTC,BTC-USDT-SWAP,BTCUSDT,ok,True,bitcoin,Bitcoin,markets_max_mcap,,11,"bitcoin,batcat,big-tom-coin,bitcoin-ai-2,bitcoin-base,bitcoin-second-chance,bobby-the-cat,bobby-the-cat-2,mezo-wrapped-btc,near-intents-bridged-btc,osmosis-allbtc",1630227220823.0,0.005346244323258758,0.006188059296744643,0.5603381113244258,8715593024.946865,10087942709.619947,30,30,30,30,2026-08-05,2026-09-03,35149848370.0,1630227220823.0,2026-08-05,2026-09-03,0.1,0.01,0.01,0.1,0.001,0.001,5,bitcoin,Bitcoin
