base_coin,filter_decision,filter_reason,cap_cutoff_usd,market_cap_usd,median_rel_vol,fitted_median_rel_vol,log_residual,p99_max,p99_max_clean,p95_max,had_entry_tail,had_soft_tail,spread_n_ticks,spread_joined,spread_window_start,spread_window_end,status,in_plot_set,gecko_id,okx_symbol,bybit_symbol,okx_tick_size,okx_lot_size,okx_min_size,bybit_tick_size,bybit_qty_step,bybit_min_order_qty,bybit_min_notional_value,take,gecko_name,map_method,n_candidates,candidate_ids,ticker_volume_usd,ticker_mcap_usd,map_note,n_hist_days,n_days_both,n_days_volume,n_days_mcap,mean_rel_vol,volume_cv,median_volume_usd,mean_volume_usd,hist_start,hist_end,paprika_id,paprika_name,window_start,window_end,spread_days_with_ticks,p99_long,p99_short,p95_long,p95_short,log_cap,log_median_rel_vol,log_fitted
VVV,dropped,dropped_large_cap,200000000.0,817707940.0,0.009594657395487684,0.015534174919898669,-0.48183600813349337,0.11833555075149274,0.11833555075149274,0.07787465559333802,False,False,10233224.0,True,2026-07-22T11:05:00Z,2026-08-27T11:40:00Z,ok,True,venice-token,VVV-USDT-SWAP,VVVUSDT,0.001,1.0,1.0,0.001,0.01,0.01,5,no,Venice Token,markets_max_mcap,1,venice-token,14922024.0,817707940.0,,30,30,30,30,0.014436771624439652,0.7559179871135776,7845627.53387,11805062.785270998,2026-08-05,2026-09-03,venice-token,Venice Token,2026-08-05,2026-09-03,29.0,0.07021408135593206,0.11833555075149274,0.034210485744984455,0.07787465559333802,20.522015789247714,-4.646548856727172,-4.164712848593679
WAL,kept,kept_cap_le_cutoff,200000000.0,66607172.0,0.013093834906397168,0.034191754934707594,-0.9598430296232134,1.3393746834061138,1.3393746834061138,1.1033393626570915,True,True,3946880.0,True,2026-07-22T11:05:00Z,2026-08-27T11:40:00Z,ok,True,walrus-2,WAL-USDT-SWAP,WALUSDT,1e-05,1.0,1.0,1e-05,1.0,1.0,5,yes,Walrus,markets_max_mcap,1,walrus-2,3832883.0,66607172.0,,30,30,30,30,0.04157319183899595,2.219936367962924,872143.31375,2769072.739409,2026-08-05,2026-09-03,walrus-2,Walrus,2026-08-05,2026-09-03,29.0,1.3393746834061138,-0.04061294431554515,1.1033393626570915,-0.08422480334403282,18.0143228174004,-4.335613777382637,-3.3757707477594234
WCT,kept,kept_cap_le_cutoff,200000000.0,17005304.0,0.04539457116350287,0.05253689732414933,-0.1461232089183615,0.1388632823235472,0.1388632823235472,0.09636967784066157,False,False,2641778.0,True,2026-07-22T11:05:00Z,2026-08-27T11:40:00Z,ok,True,connect-token-wct,WCT-USDT-SWAP,WCTUSDT,1e-05,1.0,1.0,1e-05,1.0,1.0,5,yes,WalletConnect Token,markets_max_mcap,1,connect-token-wct,5426814.0,17005304.0,,30,30,30,30,0.05189418827825718,0.5262101283860043,771948.482585,882476.4475049999,2026-08-05,2026-09-03,connect-token-wct,WalletConnect Token,2026-08-05,2026-09-03,29.0,0.1388632823235472,0.025640830658331924,0.09636967784066157,-0.025076175720014898,16.649035853358612,-3.092362758981254,-2.9462395500628924
WET,kept,kept_cap_le_cutoff,200000000.0,14333125.0,0.037652317787293416,0.05543985400930736,-0.3869042078018565,0.2516731677018639,0.2516731677018639,0.18896989312361365,False,True,2330387.0,True,2026-07-22T11:05:00Z,2026-08-27T11:40:00Z,ok,True,humidifi,WET-USDT-SWAP,WETUSDT,1e-05,1.0,1.0,1e-05,1.0,1.0,5,yes,HumidiFi,markets_max_mcap,1,humidifi,997376.0,14333125.0,,30,30,30,30,0.05463703939010742,0.6305872109076396,539675.377385,783119.5152083334,2026-08-05,2026-09-03,humidifi,HumidiFi,2026-08-05,2026-09-03,29.0,0.2516731677018639,0.0008086548791401215,0.18896989312361365,-0.06821641255605355,16.478083850000374,-3.2793607652155647,-2.892456557413708
WIF,dropped,dropped_large_cap,200000000.0,214186643.0,0.059311255509056186,0.02367714776908909,0.918288740395548,0.0970277258666662,0.0970277258666662,0.05064782664664936,False,False,11689308.0,True,2026-07-22T11:05:00Z,2026-08-27T11:40:00Z,ok,True,dogwifcoin,WIF-USDT-SWAP,WIFUSDT,0.0001,1.0,1.0,1e-05,1.0,1.0,5,yes,dogwifhat,markets_max_mcap,7,"dogwifcoin,robinwifhat,dogwifhat-base,dogwifhood,wif-on-eth,wif-secondchance,world-is-flat",60695737.0,214186643.0,,30,30,30,30,0.09297833918846037,0.7938391734190083,12703678.709600002,19914718.342491664,2026-08-05,2026-09-03,dogwifcoin,dogwifhat,2026-08-05,2026-09-03,29.0,0.05612714086573819,0.0970277258666662,0.014991541024362343,0.05064782664664936,19.182358356423894,-2.824956184765835,-3.743244925161383
WLD,dropped,dropped_large_cap,200000000.0,1455877553.0,0.07572536650822997,0.012955981661685179,1.7655556110136272,0.051111160077883314,0.051111160077883314,0.025821937640002356,False,False,22982386.0,True,2026-07-22T11:05:00Z,2026-08-27T11:40:00Z,ok,True,worldcoin-wld,WLD-USDT-SWAP,WLDUSDT,0.0001,1.0,1.0,0.0001,0.1,0.1,5,no,Worldcoin,markets_max_mcap,1,worldcoin-wld,176982567.0,1455877553.0,,30,30,30,30,0.07901098615591037,0.4565001979161735,110246861.29202999,115030321.18478368,2026-08-05,2026-09-03,worldcoin-wld,Worldcoin,2026-08-05,2026-09-03,29.0,0.0009501532186593031,0.051111160077883314,0.000513804987010779,0.025821937640002356,21.098874684970166,-2.5806420820907174,-4.346197693104345
WLFI,dropped,dropped_large_cap,200000000.0,1842448738.0,0.010693647479149025,0.012030816771618765,-0.11782155062241362,0.0660749605157944,0.0660749605157944,0.03397401632765078,False,False,11651920.0,True,2026-07-22T11:05:00Z,2026-08-27T11:40:00Z,ok,True,world-liberty-financial,WLFI-USDT-SWAP,WLFIUSDT,1e-05,1.0,1.0,1e-05,1.0,1.0,5,no,World Liberty Financial,markets_max_mcap,3,"world-liberty-financial,stupid-world-liberty-financial,we-lack-financial-intelligence",32442763.0,1842448738.0,,30,30,30,30,0.01419022227676672,0.804785131248741,19702497.302575,26144757.12576833,2026-08-05,2026-09-03,world-liberty-financial,World Liberty Financial,2026-08-05,2026-09-03,29.0,0.0660749605157944,0.05255582069495136,0.03397401632765078,0.03368327241238292,21.334361359659724,-4.538105407357544,-4.42028385673513
WOO,kept,kept_cap_le_cutoff,200000000.0,21831448.0,0.018689032049962973,0.048565734183210876,-0.9549813938803409,0.12067179824561433,0.12067179824561433,0.09310572771046899,False,False,2233967.0,True,2026-07-22T11:05:00Z,2026-08-27T11:40:00Z,ok,True,woo-network,WOO-USDT-SWAP,WOOUSDT,1e-05,1.0,1.0,1e-06,0.1,0.1,5,yes,WOO,markets_max_mcap,2,"woo-network,woo",10240940.0,21831448.0,,30,30,30,30,0.021948893239558214,0.5458704003766692,408008.6313691,479176.12141696666,2026-08-05,2026-09-03,woo-network,WOO,2026-08-05,2026-09-03,29.0,0.12067179824561433,0.017982249680443714,0.09310572771046899,0.00030476808971838324,16.89886205706386,-3.9798184485849077,-3.024837054704567
XLM,dropped,dropped_large_cap,200000000.0,6449633416.0,0.0034638245064198235,0.008111553531702136,-0.8509160800311886,0.052184966207082684,0.052184966207082684,0.031049986519773587,False,False,19823563.0,True,2026-07-22T11:05:00Z,2026-08-27T11:40:00Z,ok,True,stellar,XLM-USDT-SWAP,XLMUSDT,1e-05,0.1,0.1,1e-05,1.0,1.0,5,no,Stellar,markets_max_mcap,1,stellar,164231956.0,6449633416.0,,30,30,30,30,0.004961645404547491,0.8117158226968584,22340398.283765003,32000793.999512337,2026-08-05,2026-09-03,stellar,Stellar,2026-08-05,2026-09-03,29.0,0.037638239758966734,0.052184966207082684,0.01728787869124286,0.031049986519773587,22.587289131410255,-5.665381951684306,-4.814465871653117
XPL,dropped,dropped_large_cap,200000000.0,268713682.0,0.10407738683665166,0.022046580781905148,1.5519772033431507,0.12943444366628742,0.12943444366628742,0.09630585022239584,False,False,14970036.0,True,2026-07-22T11:05:00Z,2026-08-27T11:40:00Z,ok,True,plasma,XPL-USDT-SWAP,XPLUSDT,1e-05,1.0,1.0,1e-05,1.0,1.0,5,yes,Plasma,markets_max_mcap,2,"plasma,pulse-2",109999810.0,268713682.0,,30,30,30,30,0.15048259009344753,0.6740049825598213,27967017.829815,40436730.860906996,2026-08-05,2026-09-03,plasma,Plasma,2026-08-05,2026-09-03,29.0,0.043265176715177864,0.12943444366628742,0.013659052069104076,0.09630585022239584,19.409156991530168,-2.262620552350462,-3.8145977556936126
XRP,dropped,dropped_large_cap,200000000.0,91714520384.0,0.006666360497038229,0.0035187682819635955,0.6389630499099628,0.03181938774711313,0.03181938774711313,0.01961531848728402,False,False,40717149.0,True,2026-07-22T11:05:00Z,2026-08-27T11:40:00Z,ok,True,ripple,XRP-USDT-SWAP,XRPUSDT,0.0001,0.01,0.01,0.0001,0.1,0.1,5,no,XRP,markets_max_mcap,5,"ripple,binance-peg-xrp,harrypotterobamapacman8inu,near-intents-bridged-xrp,warioxrpdumbledoreyugioh69inu",3844326789.0,91714520384.0,,30,30,30,30,0.010451705503503838,0.9545562581875445,611402055.6927049,958573157.4486679,2026-08-05,2026-09-03,ripple,XRP,2026-08-05,2026-09-03,29.0,0.02693314005388335,0.03181938774711313,0.013648418908123065,0.01961531848728402,25.241946550281835,-5.010681220595127,-5.64964427050509
XTZ,dropped,dropped_large_cap,200000000.0,252945596.0,0.0029685913757320367,0.02247003274594807,-2.024094987473794,0.10058168394762769,0.10058168394762769,0.05092820789018812,False,False,3088222.0,True,2026-07-22T11:05:00Z,2026-08-27T11:40:00Z,ok,True,tezos,XTZ-USDT-SWAP,XTZUSDT,0.0001,1.0,1.0,0.0001,0.1,0.1,5,yes,Tezos,markets_max_mcap,2,"tezos,binance-peg-tezos-token",8592344.0,252945596.0,,30,30,30,30,0.0039798024126922,0.6607538045787117,750892.114815,1006673.4932406667,2026-08-05,2026-09-03,tezos,Tezos,2026-08-05,2026-09-03,29.0,0.10058168394762769,0.0009333121001354646,0.05092820789018812,0.00024488369112093093,19.34868498799521,-5.819667722941194,-3.7955727354674
YB,kept,kept_cap_le_cutoff,200000000.0,24222533.0,0.0265840458013619,0.04700342011554914,-0.5699091135356595,0.21482143302180698,0.21482143302180698,0.14617815680880403,False,True,3112529.0,True,2026-07-22T11:05:00Z,2026-08-27T11:40:00Z,ok,True,yield-basis,YB-USDT-SWAP,YBUSDT,1e-05,1.0,1.0,1e-05,0.1,0.1,5,yes,Yield Basis,markets_max_mcap,1,yield-basis,7574902.0,24222533.0,,30,30,30,30,0.04626802577046752,1.2081145665027717,643932.926697,1120728.78107,2026-08-05,2026-09-03,yield-basis,Yield Basis,2026-08-05,2026-09-03,29.0,0.21482143302180698,0.18409551020408368,0.14617815680880403,0.05529612924941107,17.002793873610067,-3.6274440250392916,-3.057534911503632
